product_name,ratings,price
"Minimalist 10% Niacinamide Serum with Zinc – Reduces Acne Marks, Controls Oil & Minimizes Pores | Vitamin B3 for Blemish-Free, Clear Skin | For Oily & Acne-Prone Skin (60 ml)",4.2 out of 5 stars,949
"Plum 10% Vitamin C & Calendula Barrier Boosting + Glow Serum 10 ml | With 3% Niacinamide, 1% Hyaluronic acid & 1% Creamide complex| Clinically proven to reduce pigmentation & dark spots in 14 days| Boosts glow from 1st use | Men & Women | For all skin types",4.2 out of 5 stars,199
"The Derma Co 10% Niacinamide Serum - 20 ml | With 2% Zinc, Powered by Deep Penetration Formula™ | Fades Acne Marks, Controls Oil & Reduces Dark Spots | Exclusively Available on Amazon",4.1 out of 5 stars,373
"Minimalist Barrier Repair Niacinamide 5% Face Serum for Clear Glowing Skin | Reduces Dullness, Hydrates & Repairs Skin with Vit B3 & Hyaluronic Acid | Day & Night Serum for Dry & Sensitive Skin | For Women & Men | 10 ml",4.2 out of 5 stars,236
"Plum 10% Niacinamide Serum with Rice Water 50ml | Provides Clear, Glowing & Brightening Skin | for Acne Prone, Combination, Oily & Sensitive Skin | Oil Control & Anti Acne Face Serum for Women & Men",4.1 out of 5 stars,721
"Minimalist 16% Vitamin C Face Serum – Brightening & Glow-Boosting Formula with Vitamin E, Ferulic Acid & Fullerenes, Antioxidant Boost for Radiant Skin (10 ml)",4.1 out of 5 stars,331
"Minimalist 2% Hyaluronic Acid + PGA Serum for Intense Hydration, Glowing Skin & Fine Lines | Daily Hydrating Face Serum For Women & Men with Dry, Normal & Oily Skin | 10 ml",4.3 out of 5 stars,236
Pilgrim 10% Vitamin C Face Serum For Daily Brightness 10 ml | Face serum for glowing skin | Reduces Dark Spots & Evens Skin Tone | Fragrance Free | For Men and Women | All Skin Types |,4.0 out of 5 stars,220
"Pilgrim 25% AHA + 2% BHA + 5% PHA Peeling Solution 10ml For Face & Body |10-Minute Facial At Home|Gentle Exfoliating Serum for Tan Removal |For Glowing Skin, Even Skin Tone, Pore Cleansing |Men, Women",4.1 out of 5 stars,196
The Derma Co. Tran-Zelaic Pigmentation Corrector Serum with 3% Tranexamic Acid & 10% Azelaic Acid - 30 ml | Treats Hyper Pigmentation & Melasma | Reduces Acne & Acne Marks,4.0 out of 5 stars,555
Minimalist Anti-Aging Night Serum with 0.3% Retinol & Q10|Fine Lines & Wrinkles Reduction Serum for Beginners|Water-Free Formula for Stability & Nourishment|Suitable for All Skin Types|For Unisex|30ml,4.2 out of 5 stars,569
Pilgrim 10% Niacinamide Face Serum For Acne Marks 10ml | Fades Blemishes & Dark Spots | Oil Control | Brightens & Evens Skin Tone | All Skin Types | Women & Men,4.0 out of 5 stars,181
"Minimalist 10% Advanced Vitamin C Serum for Glowing Skin | Brightening & Dark Spot Treatment | Treats Uneven Skin Tone, Dullness & UV Damage | Daily Face Serum (Stable Vitamin C) | 30ml",4.1 out of 5 stars,664
