name,ratings,ctype_and_loc,reviews,salaries
TCS,3.3,IT Services & Consulting | Bengaluru +440 other locations,1.1L,10L
Accenture,3.7,IT Services & Consulting | Bengaluru +257 other locations,72.8k,6.6L
Wipro,3.6,IT Services & Consulting | Hyderabad +371 other locations,64.6k,4.8L
Cognizant,3.7,IT Services & Consulting | Hyderabad +234 other locations,60.9k,6L
Capgemini,3.7,IT Services & Consulting | Bengaluru +182 other locations,52.6k,4.8L
HDFC Bank,3.8,Banking | Mumbai +1840 other locations,51.7k,1.5L
Infosys,3.5,IT Services & Consulting | Bengaluru +248 other locations,48.3k,5.2L
ICICI Bank,4.0,Banking | Mumbai +1441 other locations,45.6k,1.5L
HCLTech,3.4,IT Services & Consulting | Chennai +234 other locations,45.5k,3.9L
Tech Mahindra,3.4,IT Services & Consulting | Hyderabad +330 other locations,43k,2.9L
Genpact,3.6,Analytics & KPO | Hyderabad +182 other locations,41.7k,2.3L
TP,3.8,BPO | Mumbai +257 other locations,37.8k,97.9k
Jio,4.4,Telecom | Mumbai +1961 other locations,33.6k,62k
Axis Bank,3.6,Banking | Mumbai +1515 other locations,32.8k,1L
Concentrix Corporation,3.6,BPO | Bengaluru +179 other locations,32k,1.3L
Amazon,3.9,Internet | Bengaluru +524 other locations,31.3k,1.5L
Reliance Retail,3.9,Retail | Mumbai +1157 other locations,27.3k,77k
iEnergizer,4.6,BPO | Noida +52 other locations,27.2k,24.5k
LTIMindtree,3.6,IT Services & Consulting | Bengaluru +145 other locations,26.2k,2L
IBM,3.9,IT Services & Consulting | Bengaluru +161 other locations,25.6k,2.2L
HDB Financial Services,3.9,NBFC | Mumbai +1096 other locations,25.5k,49.3k
Larsen & Toubro Limited,3.9,Engineering & Construction | Chennai +762 other locations,23.7k,75.1k
Deloitte,3.7,Management Consulting | Hyderabad +189 other locations,22.9k,2.6L
Kotak Mahindra Bank,3.6,Banking | Mumbai +690 other locations,22.3k,87.3k
Reliance Industries,4.0,Oil & Gas | Jamnagar +822 other locations,20.1k,73.1k
Vodafone Idea,3.9,Telecom | Pune +709 other locations,17.6k,50k
Bharti Airtel,3.8,Telecom | Gurugram +794 other locations,17k,49.6k
BYJU'S,3.2,EdTech | Bengaluru +322 other locations,16.4k,52.3k
WNS,3.3,IT Services & Consulting | Pune +66 other locations,15.1k,70.3k
IDFC FIRST Bank,3.9,Banking | Mumbai +721 other locations,14.4k,49.4k
Ernst & Young,3.4,Management Consulting | Bengaluru +132 other locations,14.4k,1.4L
Tata Motors,4.1,Automobile | Pune +508 other locations,14.1k,42.8k
IndusInd Bank,3.4,Banking | Mumbai +797 other locations,14.1k,51.4k
AU Small Finance Bank,3.9,Banking | Jaipur +795 other locations,14.1k,29.4k
Muthoot FinCorp,4.6,NBFC | Bengaluru +1120 other locations,13.1k,9.2k
Bajaj Finserv,4.0,NBFC | Pune +1183 other locations,13k,30.9k
Flipkart,3.9,Internet | Bengaluru +559 other locations,12.9k,55.1k
PwC,3.3,Management Consulting | Bengaluru +136 other locations,12.4k,1.2L
